scene,slide_number,character,text,voice_id,file_name,success
Slide 1,1,Scene,Classroom; Students sit at desks; Teacher stands at the front smiling.,EXAVITQu4vr4xnSDxMaL,01_Scene_001.mp3,True
Slide 1,1,Action,Teacher addresses the class.,EXAVITQu4vr4xnSDxMaL,01_Action_002.mp3,True
Slide 2,2,Scene,Medium shot – Daniel and Claire turn towards each other.,EXAVITQu4vr4xnSDxMaL,02_Scene_003.mp3,True
Slide 2,2,Daniel,"Hello, I’m Daniel Vella. That’s V-E-L-L-A. What’s your name?",EXAVITQu4vr4xnSDxMaL,02_Daniel_004.mp3,True
Slide 2,2,Claire,"Nice to meet you, Daniel. I’m Claire Borg. B-O-R-G.",EXAVITQu4vr4xnSDxMaL,02_Claire_005.mp3,True
Slide 3,3,Scene,Two-shot of Daniel and Claire.,EXAVITQu4vr4xnSDxMaL,03_Scene_006.mp3,True
Slide 3,3,Daniel,"Where do you live, Claire?",EXAVITQu4vr4xnSDxMaL,03_Daniel_007.mp3,True
Slide 3,3,Claire,"I live in Valletta, on Republic Street. What about you?",EXAVITQu4vr4xnSDxMaL,03_Claire_008.mp3,True
Slide 3,3,Daniel,"I live in Rabat, close to the church. What is your phone number?",EXAVITQu4vr4xnSDxMaL,03_Daniel_009.mp3,True
Slide 3,3,Claire,It’s 555 213.,EXAVITQu4vr4xnSDxMaL,03_Claire_010.mp3,True
Slide 4,4,Scene,Claire smiles. Daniel listens carefully.,EXAVITQu4vr4xnSDxMaL,04_Scene_011.mp3,True
Slide 4,4,Daniel,When’s your birthday?,EXAVITQu4vr4xnSDxMaL,04_Daniel_012.mp3,True
Slide 4,4,Claire,On the 10th of July. I’m fourteen. I was born in Valletta. And you? When were you born?,EXAVITQu4vr4xnSDxMaL,04_Claire_013.mp3,True
Slide 4,4,Daniel,I was born on the 3rd of May. I’m fifteen.,EXAVITQu4vr4xnSDxMaL,04_Daniel_014.mp3,True
Slide 5,5,Scene,Close-up alternating between Daniel and Claire.,EXAVITQu4vr4xnSDxMaL,05_Scene_015.mp3,True
Slide 5,5,Claire,Do you come from a big family?,EXAVITQu4vr4xnSDxMaL,05_Claire_016.mp3,True
Slide 5,5,Daniel,"No, I don’t. I live with my parents and my sister. My dad is a teacher and my mum works in a bank. What about your family?",EXAVITQu4vr4xnSDxMaL,05_Daniel_017.mp3,True
Slide 5,5,Claire,I live with my parents and my younger brother. My dad is a driver and my mum is a shop assistant.,EXAVITQu4vr4xnSDxMaL,05_Claire_018.mp3,True
Slide 6,6,Scene,Both students laugh lightly.,EXAVITQu4vr4xnSDxMaL,06_Scene_019.mp3,True
Slide 6,6,Daniel,Have you got any pets?,EXAVITQu4vr4xnSDxMaL,06_Daniel_020.mp3,True
Slide 6,6,Claire,"Yes, I have. I’ve got a dog. And you?",EXAVITQu4vr4xnSDxMaL,06_Claire_021.mp3,True
Slide 6,6,Daniel,I’ve got a cat and a hamster.,EXAVITQu4vr4xnSDxMaL,06_Daniel_022.mp3,True
Slide 7,7,Script,"Claire leans forward a little, interested.",EXAVITQu4vr4xnSDxMaL,07_Script_023.mp3,True
Slide 7,7,Claire,What do you like doing in your free time?,EXAVITQu4vr4xnSDxMaL,07_Claire_024.mp3,True
Slide 7,7,Daniel,I like playing football and reading comics. My sister prefers music. What about you?,EXAVITQu4vr4xnSDxMaL,07_Daniel_025.mp3,True
Slide 7,7,Claire,"I love swimming, and my brother plays computer games.",EXAVITQu4vr4xnSDxMaL,07_Claire_026.mp3,True
Slide 8,8,Scene,"Friendly atmosphere, both smiling.",EXAVITQu4vr4xnSDxMaL,08_Scene_027.mp3,True
Slide 8,8,Daniel,What are you like?,EXAVITQu4vr4xnSDxMaL,08_Daniel_028.mp3,True
Slide 8,8,Claire,I think I’m friendly but a bit shy. What about you?,EXAVITQu4vr4xnSDxMaL,08_Claire_029.mp3,True
Slide 8,8,Daniel,People say I’m easy-going.,EXAVITQu4vr4xnSDxMaL,08_Daniel_030.mp3,True
Slide 9,9,Scene,"Students keep chatting, class in the background.",EXAVITQu4vr4xnSDxMaL,09_Scene_031.mp3,True
Slide 9,9,Claire,Who’s your best friend?,EXAVITQu4vr4xnSDxMaL,09_Claire_032.mp3,True
Slide 9,9,Daniel,My best friend is Mark. He’s funny and kind.,EXAVITQu4vr4xnSDxMaL,09_Daniel_033.mp3,True
Slide 9,9,Claire,What does he look like?,EXAVITQu4vr4xnSDxMaL,09_Claire_034.mp3,True
Slide 9,9,Daniel,Mark is tall and slim. He’s got short blonde hair and blue eyes. Have you got a best friend?,EXAVITQu4vr4xnSDxMaL,09_Daniel_035.mp3,True
Slide 9,9,Claire,"Yes, it’s Maria. She’s my neighbour. She’s very smart and helpful. She’s got brown hair and green eyes.",EXAVITQu4vr4xnSDxMaL,09_Claire_036.mp3,True
