scene,slide_number,character,text,voice_id,file_name,success
Slide 1,1,Action,Emma looks at a jacket on a hanger.,EXAVITQu4vr4xnSDxMaL,01_Action_001.mp3,True
Slide 1,1,Emma,"Excuse me, how much is this jacket?",EXAVITQu4vr4xnSDxMaL,01_Emma_002.mp3,True
Slide 2,2,Action,Emma looks interested. Shop assistant is looking for another jacket to help Emma.,EXAVITQu4vr4xnSDxMaL,02_Action_003.mp3,True
Slide 2,2,Emma,That’s a good price! Have you got it in size small?,EXAVITQu4vr4xnSDxMaL,02_Emma_004.mp3,True
Slide 3,3,Action,Emma holds the jacket. Shop assistant points towards the changing rooms.,EXAVITQu4vr4xnSDxMaL,03_Action_005.mp3,True
Slide 3,3,Emma,"Yes, please. Where are the changing rooms?",EXAVITQu4vr4xnSDxMaL,03_Emma_006.mp3,True
Slide 4,4,Action,Emma comes back wearing the jacket.,EXAVITQu4vr4xnSDxMaL,04_Action_007.mp3,True
Slide 4,4,Emma,It fits perfectly. How much is it now with the discount?,EXAVITQu4vr4xnSDxMaL,04_Emma_008.mp3,True
Slide 5,5,Action,Emma smiles and takes out her wallet. The assistant hands over the shopping bag to Emma.,EXAVITQu4vr4xnSDxMaL,05_Action_009.mp3,True
Slide 5,5,Emma,"Yes, I’ll take it, thank you.",EXAVITQu4vr4xnSDxMaL,05_Emma_010.mp3,True
Slide 5,5,Emma,You too. Goodbye.,EXAVITQu4vr4xnSDxMaL,05_Emma_011.mp3,True
