scene,slide_number,character,text,voice_id,file_name,success
Slide 1,1,Scene,Classroom with students sitting at their desks. Julia stands at the front beside a projector.,EXAVITQu4vr4xnSDxMaL,01_Scene_001.mp3,True
Slide 1,1,Julia,"Let’s talk about environmental awareness. We all know that pollution is a big problem today. There are different kinds of pollution: air, water and land.",EXAVITQu4vr4xnSDxMaL,01_Julia_002.mp3,True
Slide 2,2,Scene,Medium shot – Julia points to a slide with photos of pollution and recycling bins.,EXAVITQu4vr4xnSDxMaL,02_Scene_003.mp3,True
Slide 2,2,Julia,"We can all help protect the environment by recycling, saving energy and using less plastic. Simple things like turning off lights or using a reusable bottle make a big difference.",EXAVITQu4vr4xnSDxMaL,02_Julia_004.mp3,True
Slide 3,3,Scene,"Ms Camilleri nodding, smiling.",EXAVITQu4vr4xnSDxMaL,03_Scene_005.mp3,True
Slide 3,3,Julia,I think air pollution is the worst. There’s too much traffic.,EXAVITQu4vr4xnSDxMaL,03_Julia_006.mp3,True
Slide 4,4,Scene,Mark raises his hand.,EXAVITQu4vr4xnSDxMaL,04_Scene_007.mp3,True
Slide 4,4,Mark,What about waste? People throw away so much plastic.,EXAVITQu4vr4xnSDxMaL,04_Mark_008.mp3,True
Slide 4,4,Julia,"Yes, that’s true. We should try to reuse and recycle things instead of buying new ones all the time.",EXAVITQu4vr4xnSDxMaL,04_Julia_009.mp3,True
Slide 5,5,Scene,Claire raises her hand and speaks while others listen.,EXAVITQu4vr4xnSDxMaL,05_Scene_010.mp3,True
Slide 5,5,Claire,I agree. My family has started using cloth bags instead of plastic ones.,EXAVITQu4vr4xnSDxMaL,05_Claire_011.mp3,True
Slide 5,5,Julia,That’s a great idea. Small changes like that really help reduce pollution.,EXAVITQu4vr4xnSDxMaL,05_Julia_012.mp3,True
Slide 6,6,Scene,The teacher summarises the discussion.,EXAVITQu4vr4xnSDxMaL,06_Scene_013.mp3,True
